"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACESAC06_HF_12","ACESAC06_HF_12_LC_HP_HF","HF","WL1","LC","HF","HP","ACESAC",71,NA
"ACESAC07_HF_01","ACESAC07_HF_01_LC_LP_LF","HF","CS1","LC","LF","LP","ACESAC",85,NA
"ACESAC07_HF_02","ACESAC07_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACESAC",54,NA
"ACESAC07_HF_03","ACESAC07_HF_03_LC_LP_HF","HF","WS1","LC","HF","LP","ACESAC",83,NA
"ACESAC07_HF_06","ACESAC07_HF_06_LC_HP_HF","HF","WL1","LC","HF","HP","ACESAC",64,NA
"ACESAC07_HF_08","ACESAC07_HF_08_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACESAC",56,NA
"ACESAC07_HF_10","ACESAC07_HF_10_LC_HP_LF","HF","CL1","LC","LF","HP","ACESAC",70,NA
"ACESAC07_HF_11","ACESAC07_HF_11_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACESAC",47,NA
"ACESAC07_HF_12","ACESAC07_HF_12_HC_LP_HF","HF","WS2","HC","HF","LP","ACESAC",83,NA
"ACESAC07_SH_03","ACESAC07_SH_03_LC_HP_LF","SH","CL1","LC","LF","HP","ACESAC",70,NA
