"","site","chill","photo","force","indiv","flask","species"
"1854","mp","HC","LP","LF","1","35","alnvir"
"1855","mp","HC","LP","LF","9","35","sorsco"
"1856","mp","HC","LP","LF","tml","35","spibet"
"1857","mp","HC","LP","LF","ll","35","vacmem"
"1858","mp","HC","LP","LF","4","36","amealn"
"1859","mp","HC","LP","LF","8","36","menfer"
"1860","mp","HC","LP","LF","9","36","popbal"
"1861","mp","HC","LP","LF","sf","36","rubpar"
"1862","mp","HC","LP","LF","2","37","amealn"
"1863","mp","HC","LP","LF","6","37","shecan"
"1864","mp","HC","LP","LF","10","37","sorsco"
"1865","mp","HC","LP","LF","tml","37","spibet"
"1866","mp","HC","LP","LF","4","38","alnvir"
"1867","mp","HC","LP","LF","10","38","corsto"
"1868","mp","HC","LP","LF","6","38","corsto"
"1869","mp","HC","LP","LF","8","38","popbal"
"1870","mp","HC","LP","LF","4","39","menfer"
"1871","mp","HC","LP","LF","h_eg","39","poptre"
"1872","mp","HC","LP","LF","a_sf","39","samrac"
"1873","mp","HC","LP","LF","tml","39","spibet"
"1874","mp","HC","LP","LF","7","4","alnvir"
"1875","mp","HC","LP","LF","7","4","corsto"
"1876","mp","HC","LP","LF","1","4","rhoalb"
"1877","mp","HC","LP","LF","wjt","4","vacmem"
"1878","mp","HC","LP","LF","a","40","loninv"
"1879","mp","HC","LP","LF","4","40","menfer"
"1880","mp","HC","LP","LF","a_sf","40","riblac"
"1881","mp","HC","LP","LF","2","40","spipyr"
"1882","mp","HC","LP","LF","h_eg","5","poptre"
"1883","mp","HC","LP","LF","9","5","shecan"
"1884","mp","HC","LP","LF","10","5","shecan"
"1885","mp","HC","LP","LF","eg","5","symalb"
"1886","mp","HC","LP","LF","2","6","menfer"
"1887","mp","HC","LP","LF","8","6","sorsco"
"1888","mp","HC","LP","LF","wjt","6","spipyr"
"1889","mp","HC","LP","LF","wjt","6","spipyr"
"1890","mp","HC","LP","LF","10","7","menfer"
"1891","mp","HC","LP","LF","10","7","popbal"
"1892","mp","HC","LP","LF","9","7","sorsco"
"1893","mp","HC","LP","LF","ll","7","vacmem"
"1894","mp","HC","LP","LF","8","8","loninv"
"1895","mp","HC","LP","LF","6","8","riblac"
"1896","mp","HC","LP","LF","6","8","shecan"
"1897","mp","HC","LP","LF","wjt","8","spipyr"
"1898","mp","HC","LP","LF","2","9","amealn"
"1899","mp","HC","LP","LF","8","9","loninv"
